article_id,act_id,article_number,heading,full_text
CONST_1950_Art144,CONST_1950,144,144.,"144.
Civil and judicial authorities to act in aid of the Supreme 
Court.
[144A.
Special provisions as to disposal of questions relating to 
constitutional validity of laws."
CONST_1950_Art145,CONST_1950,145,145.,"145.
Rules of Court, etc."
CONST_1950_Art146,CONST_1950,146,146.,"146.
Officers and servants and the expenses of the Supreme Court."
CONST_1950_Art147,CONST_1950,147,147.,"147.
CHAPTER V.
COMPTROLLER AND AUDITORGENERAL OF INDIA"
CONST_1950_Art148,CONST_1950,148,148.,"148.
Comptroller and Auditor-General of India."
CONST_1950_Art149,CONST_1950,149,149.,"149.
Duties and powers of the Comptroller and Auditor-General."
CONST_1950_Art150,CONST_1950,150,150.,"150.
Form of accounts of the Union and of the States."
CONST_1950_Art151,CONST_1950,151,151.,"151.
Audit reports.
PART VI
THE STATES
GENERAL"
CONST_1950_Art152,CONST_1950,152,152.,"152.
Definition.

(x)
 THE EXECUTIVE
The Governor
 153. 
Governors of States.
 154. 
Executive power of State. 
 155. 
Appointment of Governor."
CONST_1950_Art156,CONST_1950,156,156.,"156.
Term of office of Governor."
CONST_1950_Art157,CONST_1950,157,157.,"157.
Qualifications for appointment as Governor.
 158. 
Conditions of Governor’s office.
 159. 
Oath or affirmation by the Governor. 
 160. 
Discharge of the functions of the Governor in certain 
contingencies."
CONST_1950_Art161,CONST_1950,161,161.,"161.
Power of Governor to grant pardons, etc., and to suspend, remit 
or commute sentences in certain cases."
CONST_1950_Art162,CONST_1950,162,162.,"162.
Extent of executive power of State."
CONST_1950_Art163,CONST_1950,163,163.,"163.
Council of Ministers to aid and advise Governor.
 164. 
Other provisions as to Ministers.
The Advocate-General for the State"
CONST_1950_Art165,CONST_1950,165,165.,"165.
Advocate-General for the State."
CONST_1950_Art166,CONST_1950,166,166.,"166.
Conduct of business of the Government of a State."
CONST_1950_Art167,CONST_1950,167,167.,"167.
Duties of Chief Minister as respects the furnishing of 
information to Governor, etc.
THE STATE LEGISLATURE"
CONST_1950_Art168,CONST_1950,168,168.,"168.
Constitution of Legislatures in States."
CONST_1950_Art169,CONST_1950,169,169.,"169.
Abolition or creation of Legislative Councils in States."
CONST_1950_Art170,CONST_1950,170,170.,"170.
Composition of the Legislative Assemblies.

(xi)"
CONST_1950_Art171,CONST_1950,171,171.,"171.
Composition of the Legislative Councils."
CONST_1950_Art172,CONST_1950,172,172.,"172. 
Duration of State Legislatures."
CONST_1950_Art173,CONST_1950,173,173.,"173. 
Qualification for membership of the State Legislature."
CONST_1950_Art174,CONST_1950,174,174.,"174.
Sessions of the State Legislature, prorogation and dissolution."
CONST_1950_Art175,CONST_1950,175,175.,"175.
Right of Governor to address and send messages to the House or 
Houses."
CONST_1950_Art176,CONST_1950,176,176.,"176. 
Special address by the Governor."
CONST_1950_Art177,CONST_1950,177,177.,"177. 
Rights of Ministers and Advocate-General as respects the 
Houses. 

Officers of the State Legislature"
CONST_1950_Art178,CONST_1950,178,178.,"178.
The Speaker and Deputy Speaker of the Legislative Assembly."
CONST_1950_Art179,CONST_1950,179,179.,"179.
Vacation and resignation of, and removal from, the offices of 
Speaker and Deputy Speaker."
CONST_1950_Art180,CONST_1950,180,180.,"180.
Power of the Deputy Speaker or other person to perform the 
duties of the office of, or to act as, Speaker."
CONST_1950_Art181,CONST_1950,181,181.,"181. 
The Speaker or the Deputy Speaker not to preside while a"
CONST_1950_Art182,CONST_1950,182,182.,"182.
The Chairman and Deputy Chairman of the Legislative Council."
CONST_1950_Art183,CONST_1950,183,183.,"183.
Vacation and resignation of, and removal from, the offices of 
Chairman and Deputy Chairman."
CONST_1950_Art184,CONST_1950,184,184.,"184.
Power of the Deputy Chairman or other person to perform the 
duties of the office of, or to act as, Chairman."
CONST_1950_Art185,CONST_1950,185,185.,"185.
The Chairman or the Deputy Chairman not to preside while a"
CONST_1950_Art186,CONST_1950,186,186.,"186. 
Salaries and allowances of the Speaker and Deputy Speaker and 
the Chairman and Deputy Chairman."
CONST_1950_Art187,CONST_1950,187,187.,"187.
Secretariat of State Legislature."
CONST_1950_Art188,CONST_1950,188,188.,"188.
Oath or affirmation by members."
CONST_1950_Art189,CONST_1950,189,189.,"189.
Voting in Houses, power of Houses to act notwithstanding 
vacancies and quorum."
CONST_1950_Art190,CONST_1950,190,190.,"190.
Vacation of seats.

(xii)
191."
CONST_1950_Art192,CONST_1950,192,192.,"192.
Decision on questions as to disqualifications of members."
CONST_1950_Art193,CONST_1950,193,193.,"193. 
Penalty for sitting and voting before making oath or affirmation 
under article 188 or when not qualified or when disqualified.
Powers, privileges and immunities of State Legislatures and 
their Members"
CONST_1950_Art194,CONST_1950,194,194.,"194.
Powers, privileges, etc., of the Houses of Legislatures and of the 
members and committees thereof."
CONST_1950_Art195,CONST_1950,195,195.,"195. 
Salaries and allowances of members."
CONST_1950_Art196,CONST_1950,196,196.,"196. 
Provisions as to introduction and passing of Bills."
CONST_1950_Art197,CONST_1950,197,197.,"197. 
Restriction on powers of Legislative Council as to Bills other 
than Money Bills."
CONST_1950_Art198,CONST_1950,198,198.,"198.
Special procedure in respect of Money Bills."
CONST_1950_Art199,CONST_1950,199,199.,"199.
Definition of “Money Bills”."
CONST_1950_Art200,CONST_1950,200,200.,"200.
Assent to Bills."
CONST_1950_Art201,CONST_1950,201,201.,"201.
Bills reserved for consideration."
CONST_1950_Art202,CONST_1950,202,202.,"202.
Annual financial statement."
CONST_1950_Art203,CONST_1950,203,203.,"203.
Procedure in Legislature with respect to estimates."
CONST_1950_Art204,CONST_1950,204,204.,"204.
Appropriation Bills."
CONST_1950_Art205,CONST_1950,205,205.,"205.
Supplementary, additional or excess grants."
CONST_1950_Art206,CONST_1950,206,206.,"206.
Votes on account, votes of credit and exceptional grants."
CONST_1950_Art207,CONST_1950,207,207.,"207.
Special provisions as to financial Bills."
CONST_1950_Art208,CONST_1950,208,208.,"208.
Rules of procedure."
CONST_1950_Art209,CONST_1950,209,209.,"209.
Regulation by law of procedure in the Legislature of the State in 
relation to financial business.

(xiii)"
CONST_1950_Art210,CONST_1950,210,210.,"210.
Language to be used in the Legislature."
CONST_1950_Art211,CONST_1950,211,211.,"211.
Restriction on discussion in the Legislature."
CONST_1950_Art212,CONST_1950,212,212.,"212.
Courts not to inquire into proceedings of the Legislature.
LEGISLATIVE POWER OF THE 
GOVERNOR"
CONST_1950_Art213,CONST_1950,213,213.,"213.
Power of Governor to promulgate Ordinances during recess of 
Legislature.
CHAPTER V.
THE HIGH COURTS IN THE 
STATES"
CONST_1950_Art214,CONST_1950,214,214.,"214.
High Courts for States."
CONST_1950_Art215,CONST_1950,215,215.,"215.
High Courts to be courts of record."
CONST_1950_Art216,CONST_1950,216,216.,"216.
Constitution of High Courts."
CONST_1950_Art217,CONST_1950,217,217.,"217.
Appointment and conditions of the office of a Judge of a High 
Court."
CONST_1950_Art218,CONST_1950,218,218.,"218.
Application of certain provisions relating to Supreme Court to 
High Courts."
CONST_1950_Art219,CONST_1950,219,219.,"219.
Oath or affirmation by Judges of High Courts."
CONST_1950_Art220,CONST_1950,220,220.,"220.
Restriction on practice after being a permanent Judge."
CONST_1950_Art221,CONST_1950,221,221.,"221.
Salaries, etc., of Judges."
CONST_1950_Art222,CONST_1950,222,222.,"222.
Transfer of a Judge from one High Court to another."
CONST_1950_Art223,CONST_1950,223,223.,"223.
Appointment of acting Chief Justice."
CONST_1950_Art224,CONST_1950,224,224.,"224.
Appointment of additional and acting Judges."
CONST_1950_Art224A,CONST_1950,224A,224A.,"224A.
Appointment of retired Judges at sittings of High Courts."
CONST_1950_Art225,CONST_1950,225,225.,"225.
Jurisdiction of existing High Courts."
CONST_1950_Art226,CONST_1950,226,226.,"226.
Power of High Courts to issue certain writs.
[226A.
Constitutional validity of Central laws not to be considered in 
proceedings under article 226."
CONST_1950_Art227,CONST_1950,227,227.,"227.
Power of superintendence over all courts by the High Court."
CONST_1950_Art228,CONST_1950,228,228.,"228.
Transfer of certain cases to High Court.
[228A.
Special provisions as to disposal of questions relating to 
constitutional validity of State laws.

(xiv)"
CONST_1950_Art229,CONST_1950,229,229.,"229. 
Officers and servants and the expenses of High Courts."
CONST_1950_Art230,CONST_1950,230,230.,"230.
Extension of jurisdiction of High Courts to Union territories."
CONST_1950_Art231,CONST_1950,231,231.,"231.
Establishment of a common High Court for two or more States.
[232.
Articles 230, 231 and 232 substituted by articles 230 and 231].
CHAPTER VI.
SUBORDINATE COURTS"
CONST_1950_Art233,CONST_1950,233,233.,"233.
Appointment of district judges."
CONST_1950_Art233A,CONST_1950,233A,233A.,"233A.
Validation of appointments of, and judgments, etc., delivered by, 
certain district judges."
CONST_1950_Art234,CONST_1950,234,234.,"234. 
Recruitment of persons other than district judges to the judicial 
service."
CONST_1950_Art235,CONST_1950,235,235.,"235. 
Control over subordinate courts.
236."
CONST_1950_Art237,CONST_1950,237,237.,"237. 
Application of the provisions of this Chapter to certain class or 
classes of magistrates.
[PART VII.—Omitted]
THE STATES IN PART B OF THE FIRST SCHEDULE
[238.
PART VIII
THE UNION TERRITORIES"
CONST_1950_Art239,CONST_1950,239,239.,"239.
Administration of Union territories."
CONST_1950_Art239A,CONST_1950,239A,239A.,"239A.
Creation of local Legislatures or Council of Ministers or both for 
certain Union territories.
239AA.
Special provisions with respect to Delhi.
239AB.
Provision in case of failure of constitutional machinery."
CONST_1950_Art239B,CONST_1950,239B,239B.,"239B.
Power of administrator to promulgate Ordinances during recess 
of Legislature."
CONST_1950_Art240,CONST_1950,240,240.,"240.
Power of President to make regulations for certain Union 
territories."
CONST_1950_Art241,CONST_1950,241,241.,"241.
High Courts for Union territories.
[242.
Coorg.
PART IX
THE PANCHAYATS
243.

(xv)"
CONST_1950_Art243A,CONST_1950,243A,243A.,"243A.
Gram Sabha."
CONST_1950_Art243B,CONST_1950,243B,243B.,"243B. 
Constitution of Panchayats."
CONST_1950_Art243C,CONST_1950,243C,243C.,"243C.
Composition of Panchayats."
CONST_1950_Art243D,CONST_1950,243D,243D.,"243D.
Reservation of seats."
CONST_1950_Art243E,CONST_1950,243E,243E.,"243E.
Duration of Panchayats, etc.
243F."
CONST_1950_Art243G,CONST_1950,243G,243G.,"243G. 
Powers, authority and responsibilities of Panchayats."
CONST_1950_Art243H,CONST_1950,243H,243H.,"243H. 
Powers to impose taxes by, and Funds of, the Panchayats. 
243-I.
Constitution of Finance Commission to review financial 
position."
CONST_1950_Art243J,CONST_1950,243J,243J.,"243J.
Audit of accounts of Panchayats."
CONST_1950_Art243K,CONST_1950,243K,243K.,"243K.
Elections to the Panchayats."
CONST_1950_Art243L,CONST_1950,243L,243L.,"243L.
Application to Union territories."
CONST_1950_Art243M,CONST_1950,243M,243M.,"243M.
Part not to apply to certain areas."
CONST_1950_Art243N,CONST_1950,243N,243N.,"243N.
Continuance of existing laws and Panchayats.
243-O.
Bar to interference by courts in electoral matters.
PART IXA
THE MUNICIPALITIES
243P."
CONST_1950_Art243Q,CONST_1950,243Q,243Q.,"243Q.
Constitution of Municipalities."
CONST_1950_Art243R,CONST_1950,243R,243R.,"243R.
Composition of Municipalities."
CONST_1950_Art243S,CONST_1950,243S,243S.,"243S.
Constitution and composition of Wards Committees, etc."
CONST_1950_Art243T,CONST_1950,243T,243T.,"243T.
Reservation of seats."
CONST_1950_Art243U,CONST_1950,243U,243U.,"243U.
Duration of Municipalities, etc.
243V."
CONST_1950_Art243W,CONST_1950,243W,243W.,"243W.
Powers, authority and responsibilities of Municipalities, etc."
CONST_1950_Art243X,CONST_1950,243X,243X.,"243X.
Power to impose taxes by, and Funds of, the Municipalities."
CONST_1950_Art243Y,CONST_1950,243Y,243Y.,"243Y.
Finance Commission.

(xvi)"
CONST_1950_Art243Z,CONST_1950,243Z,243Z.,"243Z.
Audit of accounts of Municipalities.
243ZA.
Elections to the Municipalities.
243ZB. 
Application to Union territories.
243ZC. 
Part not to apply to certain areas. 
243ZD.
Committee for district planning.
243ZE.
Committee for Metropolitan planning.
243ZF.
Continuance of existing laws and Municipalities.
243ZG. 
Bar to interference by courts in electoral matters. 
PART IXB 
THE CO-OPERATIVE SOCIETIES
243ZH.
243Z-I.
Incorporation of co-operative societies.
243ZJ.
Number and term of members of board and its office bearers.
243ZK.
Election of members of board.
243ZL.
Supersession and suspension of board and interim management.
243ZM.
Audit of accounts of co-operative societies.
243ZN.
Convening of general body meetings.
243Z-O.
Right of a member to get information.
243ZP.
Returns.
243ZQ.
Offences and penalties.
243ZR.
Application to multi-State co-operative societies.
243ZS.
Application to Union territories.
243ZT.
Continuance of existing laws.
PART X
THE SCHEDULED AND TRIBAL AREAS"
CONST_1950_Art244,CONST_1950,244,244.,"244.
Administration of Scheduled Areas and Tribal Areas."
CONST_1950_Art244A,CONST_1950,244A,244A.,"244A.
Formation of an autonomous State comprising certain tribal 
areas in Assam and creation of local Legislature or Council of 
Ministers or both therefor.

(xvii)
PART XI
RELATIONS BETWEEN THE UNION AND THE 
STATES 
LEGISLATIVE RELATIONS
Distribution of Legislative Powers"
CONST_1950_Art245,CONST_1950,245,245.,"245.
Extent of laws made by Parliament and by the Legislatures of"
CONST_1950_Art246,CONST_1950,246,246.,"246. 
Subject-matter of laws made by Parliament and by the 
Legislatures of States."
CONST_1950_Art246A,CONST_1950,246A,246A.,"246A.
Special provision with respect to goods and services tax."
CONST_1950_Art247,CONST_1950,247,247.,"247. 
Power of Parliament to provide for the establishment of certain 
additional courts."
CONST_1950_Art248,CONST_1950,248,248.,"248.
Residuary powers of legislation."
CONST_1950_Art249,CONST_1950,249,249.,"249. 
Power of Parliament to legislate with respect to a matter in the 
State List in the national interest."
CONST_1950_Art250,CONST_1950,250,250.,"250. 
Power of Parliament to legislate with respect to any matter in the 
State List if a Proclamation of Emergency is in operation."
CONST_1950_Art251,CONST_1950,251,251.,"251.
Inconsistency between laws made by Parliament under articles 
249 and 250 and laws made by the Legislatures of States."
CONST_1950_Art252,CONST_1950,252,252.,"252.
Power of Parliament to legislate for two or more States by 
consent and adoption of such legislation by any other State."
CONST_1950_Art253,CONST_1950,253,253.,"253.
Legislation for giving effect to international agreements."
CONST_1950_Art254,CONST_1950,254,254.,"254.
Inconsistency between laws made by Parliament and laws made 
by the Legislatures of States."
CONST_1950_Art255,CONST_1950,255,255.,"255.
Requirements as to recommendations and previous sanctions to 
be regarded as matters of procedure only.
ADMINISTRATIVE RELATIONS"
CONST_1950_Art256,CONST_1950,256,256.,"256.
Obligation of States and the Union."
CONST_1950_Art257,CONST_1950,257,257.,"257.
Control of the Union over States in certain cases.
[257A.
Assistance to States by deployment of armed forces or other 
forces of the Union."
CONST_1950_Art258,CONST_1950,258,258.,"258.
Power of the Union to confer powers, etc., on States in certain 
cases.

(xviii)"
CONST_1950_Art258A,CONST_1950,258A,258A.,"258A.
Power of the States to entrust functions to the Union.
 [259. 
Armed Forces in States in Part B of the First Schedule."
CONST_1950_Art260,CONST_1950,260,260.,"260.
Jurisdiction of the Union in relation to territories outside India."
CONST_1950_Art261,CONST_1950,261,261.,"261. 
Public acts, records and judicial proceedings.

Disputes relating to Waters"
CONST_1950_Art262,CONST_1950,262,262.,"262.
Adjudication of disputes relating to waters of inter-State rivers 
or river valleys. 
Co-ordination between States"
