case_id,article_id,context
sc_2016_Alagaapuram_R_Mohanraj_And_Ors_vs_Tamil_Nadu_Legislative_Assembly_Rep_By_on_12_February_2016_1,CONST_1950_Art194, of the next session is beyond the authority of the House and the Speaker under Article 194. The incidents which took place outside the premises of the Legislative Assembl
sc_2016_Alagaapuram_R_Mohanraj_And_Ors_vs_Tamil_Nadu_Legislative_Assembly_Rep_By_on_12_February_2016_1,CONST_1950_Art21,"ioners’ fundamental rights guaranteed under Articles 19(1)(a), 19(1)(g), 14 and Article 21 of the Constitution have been violated by the impugned resolution; (2) This Cou"
sc_2016_Alagaapuram_R_Mohanraj_And_Ors_vs_Tamil_Nadu_Legislative_Assembly_Rep_By_on_12_February_2016_1,CONST_1950_Art226,er Article 32 in contradistinction to the jurisdiction of the High Courts under Article 226 is limited. While the High Courts in exercise of the jurisdiction under Article
sc_2016_Alagaapuram_R_Mohanraj_And_Ors_vs_Tamil_Nadu_Legislative_Assembly_Rep_By_on_12_February_2016_1,CONST_1950_Art19,of the petitioners’ fundamental right of speech and expression guaranteed under Article 19(1)(a) and their fundamental right to carry on an occupation guaranteed under Ar
sc_2016_Alagaapuram_R_Mohanraj_And_Ors_vs_Tamil_Nadu_Legislative_Assembly_Rep_By_on_12_February_2016_1,CONST_1950_Art14,d unruly conduct of the petitioners and award of the punishment is violative of Article 14. It is also argued that the impugned action insofar as it deprives (although fo
sc_2016_Alagaapuram_R_Mohanraj_And_Ors_vs_Tamil_Nadu_Legislative_Assembly_Rep_By_on_12_February_2016_1,CONST_1950_Art143,"(1)(a). 21. Our view is fully supported by an opinion of this Court In re under Article 143 of Constitution of India, AIR 1965 SC 745[5], which view was reiterated by a Co"
sc_2016_Alagaapuram_R_Mohanraj_And_Ors_vs_Tamil_Nadu_Legislative_Assembly_Rep_By_on_12_February_2016_1,CONST_1950_Art105,"AIR 1997 SC 645, 680 : (1997) 9 SCC 377. [2] Relevant portions of the Articles: Article 105. (1) Subject to the provisions of this Constitution and to the rules and standi"
sc_2016_Alagaapuram_R_Mohanraj_And_Ors_vs_Tamil_Nadu_Legislative_Assembly_Rep_By_on_12_February_2016_1,CONST_1950_Art211," if a legislator exercises his right of freedom of speech in violation, say, of Article 211, he would not be liable for any action in any court. Similarly, if the legislat"
sc_2016_All_India_Power_Engineer_Federation_vs_Sasan_Power_Ltd_Ors_Etc_on_8_December_2016_1,CONST_1950_Art6,"e period of 25 years. Apart from other provisions, we are really concerned with Article 6 read with Schedule 5 which provides for pre-conditions to be satisfied for decl"
sc_2016_All_India_Power_Engineer_Federation_vs_Sasan_Power_Ltd_Ors_Etc_on_8_December_2016_1,CONST_1950_Art18,"rticles 3.1.2, 4.4.2(b) 10.1(c), 10.2(c) were pointed out by them. Referring to Article 18.3 of the PPA, it was argued that the said Article is not a substantive provisio"
sc_2016_All_India_Power_Engineer_Federation_vs_Sasan_Power_Ltd_Ors_Etc_on_8_December_2016_1,CONST_1950_Art8,d capacities as may be | | |determined in accordance with | | |Article 6.3.4 or Article 8.2 of | | |this Agreement; | |“Effective Date” |Means the date of signing of thi
sc_2016_All_India_Power_Engineer_Federation_vs_Sasan_Power_Ltd_Ors_Etc_on_8_December_2016_1,CONST_1950_Art4,"jointly) and the | | |Seller, to carry out the functions| | |in accordance with Article 4.7.1 | | |and Article 6, Article 12 and | | |Article 8 herein. | |“Lead Procurer"
sc_2016_All_India_Power_Engineer_Federation_vs_Sasan_Power_Ltd_Ors_Etc_on_8_December_2016_1,CONST_1950_Art12,"arry out the functions| | |in accordance with Article 4.7.1 | | |and Article 6, Article 12 and | | |Article 8 herein. | |“Lead Procurer” |Shall have the meaning scribed |"
sc_2016_All_India_Power_Engineer_Federation_vs_Sasan_Power_Ltd_Ors_Etc_on_8_December_2016_1,CONST_1950_Art2,le 8 herein. | |“Lead Procurer” |Shall have the meaning scribed | | |thereto in Article 2.5; | |“Performance Test” |Means the test carried out in | | |accordance with Ar
sc_2016_All_India_Power_Engineer_Federation_vs_Sasan_Power_Ltd_Ors_Etc_on_8_December_2016_1,CONST_1950_Art1, 2.5; | |“Performance Test” |Means the test carried out in | | |accordance with Article 1.1 of | | |Schedule 5 of this Agreement; | |“Scheduled COD” or |Means (i) for th
sc_2016_All_India_Power_Engineer_Federation_vs_Sasan_Power_Ltd_Ors_Etc_on_8_December_2016_1,CONST_1950_Art11,"itional quantity would be scheduled in favour of the Procurers under proviso to Article 11.1 of the PPA, until the next Performance Test is conducted under Article 6.3.3."
sc_2016_Amanullah_Anr_vs_State_Of_Bihar_Ors_on_12_April_2016_1,CONST_1950_Art136,f higher functionaries may result in refusal to take a case to this Court under Article 136 even though the justice of the lis may well justify it. While “the criminal law
sc_2016_Amanullah_Anr_vs_State_Of_Bihar_Ors_on_12_April_2016_1,CONST_1950_Art226,a series of decisions relating to the exercise of the extraordinary power under Article 226 or the inherent powers under Section 482 of the Code which we have extracted an
sc_2016_Anant_Prakash_Sinha_Anant_Sinha_vs_State_Of_Haryana_And_Anr_on_4_March_2016_1,CONST_1950_Art136,there is no reason to interfere with the same in exercise of jurisdiction under Article 136 of the Constitution of India. Learned counsel would further contend that when t
sc_2016_Andhra_Pradesh_State_Council_Of_Higher_vs_Union_Of_India_And_Ors_Etc_on_18_March_2016_1,CONST_1950_Art75,"n List-II & III of the 7th schedule of the Constitution. Therefore, in terms of Section 75 of the Act, 2014, the specified institutions under the tenth schedule are gover"
sc_2016_Andhra_Pradesh_State_Council_Of_Higher_vs_Union_Of_India_And_Ors_Etc_on_18_March_2016_1,CONST_1950_Art246," State-laws of the land namely, principle of land, known as lex situs. 7. Under Article 246 (2) & (3) of the Constituion of India, the State Legislatures are competent to "
sc_2016_Andhra_Pradesh_State_Council_Of_Higher_vs_Union_Of_India_And_Ors_Etc_on_18_March_2016_1,CONST_1950_Art1,e in which the Union of India is permanent within the territorial limits set in Article 1 of the Constitution and is indestructible. The State is the creature of the Con
sc_2016_Andhra_Pradesh_State_Council_Of_Higher_vs_Union_Of_India_And_Ors_Etc_on_18_March_2016_1,CONST_1950_Art3,l review are basic features of the Constitution.” (emphasis laid by this Court) Article 3 of the Constitution of India confers the power of formation of new states on th
sc_2016_Andhra_Pradesh_State_Council_Of_Higher_vs_Union_Of_India_And_Ors_Etc_on_18_March_2016_1,CONST_1950_Art4,466/ 9   “India is an indestructible Union of destructible units. Article 3 and Article 4 of the Constitution together empower Parliament to make laws to form a new Stat
sc_2016_Anil_Kumar_Gupta_vs_Union_Of_India_And_Ors_on_5_July_2016_1,CONST_1950_Art32,"                       J U D G M E N T Uday U. Lalit, J. 1. This petition under Article 32 of the Constitution of India has been filed in public interest by an Advocate p"
sc_2016_Arvind_Kumar_Sharma_vs_Union_Of_India_Ors_on_16_August_2016_1,CONST_1950_Art32,"                J U D G M E N T A.M. KHANWILKAR, J. 1. This Writ Petition under Article 32 of the Constitution of India has been filed by an Advocate practicing before th"
sc_2016_Ashiq_Hussain_Faktoo_vs_Union_Of_India_Ors_on_30_August_2016_1,CONST_1950_Art32,"0705475/ 1   February, 2005 of this Court. Thereafter, this writ petition under Article 32 of the Constitution of India has been filed by the present accused writ petitio"
sc_2016_Avtar_Singh_vs_Union_Of_India_Ors_on_21_July_2016_1,CONST_1950_Art136,"d. In the appeal the employee was acquitted. This Court did not interfere under Article 136 of the Constitution in the decision of the tribunal. In the facts of the case, "
sc_2016_Avtar_Singh_vs_Union_Of_India_Ors_on_21_July_2016_1,CONST_1950_Art226,thereafter and when the High Court also did not think it fit to interfere under Article 226 of the Constitution of India on the peculiar facts of this case. In our opinion
sc_2016_Avtar_Singh_vs_Union_Of_India_Ors_on_21_July_2016_1,CONST_1950_Art311, enquiry was adjudged to be illegal and violative of protection conferred under Article 311(2) of the Constitution. This Court in Kamal Nayan Mishra (supra) has held that 
sc_2016_Awadesh_Kumar_Jha_Akhilesh_Kumar_Jha_vs_The_State_Of_Bihar_on_7_January_2016_1,CONST_1950_Art20, second FIR is illegal and void ab-initio in law as the same is in violation of Article 20(2) of the Constitution of India and also contrary to Section 300 of Cr.P.C. and
sc_2016_Awadesh_Kumar_Jha_Akhilesh_Kumar_Jha_vs_The_State_Of_Bihar_on_7_January_2016_1,CONST_1950_Art21,"in the course of the same transaction is not only impermissible but it violates Article 21 of the Constitution. In T.T. Antony, this Court has categorically held that reg"
sc_2016_Axis_Bank_vs_Sbs_Organics_Pvt_Ltd_Anr_on_22_April_2016_1,CONST_1950_Art14,he second proviso to Section 18(1) of the Act is discriminatory or violative of Article 14 of the Constitution of India. Petitions lack merit and the same are dismissed.”
sc_2016_Babita_Lila_Anr_vs_Union_Of_India_on_31_August_2016_1,CONST_1950_Art37,"urt was seized with the question as to whether the proceeding before the I.T.O. under Section 37 of the Indian Income Tax Act, 1922 (as it was then) could be construed to be a "
sc_2016_Babita_Lila_Anr_vs_Union_Of_India_on_31_August_2016_1,CONST_1950_Art136,"rt at Bhopal, the appellants seek the remedial intervention of this Court under Article 136 of the Constitution of India. 3. The appellants, who are husband and wife, are "
sc_2016_Bakshi_Security_And_Personnel_Services_vs_Devkishan_Computed_Pvt_Ltd_And_Ors_on_26_July_2016_1,CONST_1950_Art1,"h the revised minimum wage calculation, the State will benefit by an amount of Rs.1 lakh and that this was well within the discretion of the High Court while exerc"
sc_2016_Bakshi_Security_And_Personnel_Services_vs_Devkishan_Computed_Pvt_Ltd_And_Ors_on_26_July_2016_1,CONST_1950_Art226,"ell within the discretion of the High Court while exercising jurisdiction under Article 226 of the Constitution. 12. Having heard learned counsel for the parties, we agree"
sc_2016_Balveer_Singh_And_Anr_vs_State_Of_Rajasthan_And_Anr_on_10_May_2016_1,CONST_1950_Art319,"se is concerned, that pertains to the powers of the trial court as contained in Section 319 of the Code, which empower the trial court to proceed even against persons not "
sc_2016_Balveer_Singh_And_Anr_vs_State_Of_Rajasthan_And_Anr_on_10_May_2016_1,CONST_1950_Art136,ssible. The next question is as to whether this Court exercise its powers under Article 136 of the Constitution to interdict such an order. We find that the order of the M
sc_2016_Bharat_Aluminium_Co_vs_Kaiser_Aluminium_Technical_on_28_January_2016_1,CONST_1950_Art142,"ternational v. Bulk Trading S.A. and another[2]. Exercising its the power under Article 142 of the Constitution of India, the Constitution Bench however, held that the law"
sc_2016_Bharat_Aluminium_Co_vs_Kaiser_Aluminium_Technical_on_28_January_2016_1,CONST_1950_Art17," to certainly refer to the relevant clauses of the arbitration agreement, viz., Article 17 and Article 22, which read as follows: “Article 17 - ARBITRATION 17.1: Any disp"
sc_2016_Bharat_Aluminium_Co_vs_Kaiser_Aluminium_Technical_on_28_January_2016_1,CONST_1950_Art22,"efer to the relevant clauses of the arbitration agreement, viz., Article 17 and Article 22, which read as follows: “Article 17 - ARBITRATION 17.1: Any dispute or claim ar"
sc_2016_Board_Of_Control_For_Cricket_vs_Cricket_Aasociation_Of_Bihar_Ors_on_18_July_2016_1,CONST_1950_Art8,anagement and how measures exist to check conflict of interest and enforce ethics. 8. Based on the interactions held and the responses received from various quarter
sc_2016_Board_Of_Control_For_Cricket_vs_Cricket_Aasociation_Of_Bihar_Ors_on_18_July_2016_1,CONST_1950_Art12,"the Board of Control for Cricket in India was not “State” within the meaning of Article 12, it was amenable to the writ jurisdiction of the Court under Article 226 of the"
sc_2016_Board_Of_Control_For_Cricket_vs_Cricket_Aasociation_Of_Bihar_Ors_on_18_July_2016_1,CONST_1950_Art226,"ning of Article 12, it was amenable to the writ jurisdiction of the Court under Article 226 of the Constitution of India as it was discharging important public functions. "
sc_2016_Board_Of_Control_For_Cricket_vs_Cricket_Aasociation_Of_Bihar_Ors_on_18_July_2016_1,CONST_1950_Art2, Committee/Apex Council has also been stoutly opposed by the BCCI. Relying upon Article 2.9 (B) of the Memorandum and Articles of Association of the ICC it is urged that
sc_2016_Board_Of_Control_For_Cricket_vs_Cricket_Aasociation_Of_Bihar_Ors_on_18_July_2016_1,CONST_1950_Art19,society formed by private individuals who enjoy constitutional protection under Article 19 of the Constitution of India. It has also raised an issue that the Committee di
sc_2016_Board_Of_Control_For_Cricket_vs_Cricket_Aasociation_Of_Bihar_Ors_on_18_July_2016_1,CONST_1950_Art32," citizens, the aggrieved party may not have a relief by way of a petition under Article 32. But that does not mean that the violator of Board Of Control For Cricket vs Cr"
sc_2016_Board_Of_Control_For_Cricket_vs_Cricket_Aasociation_Of_Bihar_Ors_on_18_July_2016_1,CONST_1950_Art14,ed that Article 19 applies to citizens and not persons as was the position with Article 14 of the Constitution. The effect is that the provisions of Article 19 can be cla
sc_2016_Board_Of_Control_For_Cricket_vs_Cricket_Aasociation_Of_Bihar_Ors_on_18_July_2016_1,CONST_1950_Art5,hout the territory of India shall be governed by Article 19(1)(d) read with sub-Article 5 of the Constitution. Suffice it to say that so long as the initial voluntary co
sc_2016_Brajendra_Singh_Yambem_vs_Union_Of_India_And_Anr_on_26_August_2016_1,CONST_1950_Art136,ants interference by this Court in exercise of its appellate jurisdiction under Article 136 of the Constitution of India. The learned ASG further contends that Rule 9(2)(b
sc_2016_Brajendra_Singh_Yambem_vs_Union_Of_India_And_Anr_on_26_August_2016_1,CONST_1950_Art226,ein this Court has held that the High Court while exercising jurisdiction under Article 226 of the Constitution of India should not interfere with the conclusions arrived 
sc_2016_Brajendra_Singh_Yambem_vs_Union_Of_India_And_Anr_on_26_August_2016_1,CONST_1950_Art166,"its power of judicial review, as the said action comes within the protection of Article 166(2) of the Constitution of India. This principle of law is not applicable to the"
sc_2016_Brajendra_Singh_Yambem_vs_Union_Of_India_And_Anr_on_26_August_2016_1,CONST_1950_Art77,anted by the President of India is not in exercise of his executive power under Article 77(2) of the Constitution which speaks of orders and other instruments made and ex
sc_2016_Brajendra_Singh_Yambem_vs_Union_Of_India_And_Anr_on_26_August_2016_1,CONST_1950_Art309,amed by the President of India in exercise of legislative power conferred under Article 309 of the Constitution of India. Article 309 of the Constitution provides for fram
sc_2016_Brajendra_Singh_Yambem_vs_Union_Of_India_And_Anr_on_26_August_2016_1,CONST_1950_Art158,"under the proviso to Article 309 being in the nature of a legislative power. By Article 158, the Governor of a State is a part of the legislature of the State. And the mos"
sc_2016_Brajendra_Singh_Yambem_vs_Union_Of_India_And_Anr_on_26_August_2016_1,CONST_1950_Art213,ious exercise of legislative power by the Governor is the power given to him by Article 213 to promulgate Ordinances when the legislature is not in session. Under that Art
sc_2016_Brajendra_Singh_Yambem_vs_Union_Of_India_And_Anr_on_26_August_2016_1,CONST_1950_Art142,"llegations made against the appellant, in exercise of power of this Court under Article 142 of the Constitution of India, we direct the Disciplinary Authority to continue "
sc_2016_Cellular_Operators_Association_Of_vs_Telecom_Regulatory_Authority_Of_India_on_11_May_2016_1,CONST_1950_Art14,"bitrary and unreasonable, and therefore affected their fundamental rights under Article 14 and Article 19(1)(g) of the Constitution. They further went on to state that th"
sc_2016_Cellular_Operators_Association_Of_vs_Telecom_Regulatory_Authority_Of_India_on_11_May_2016_1,CONST_1950_Art19,"easonable, and therefore affected their fundamental rights under Article 14 and Article 19(1)(g) of the Constitution. They further went on to state that there was no powe"
sc_2016_Cellular_Operators_Association_Of_vs_Telecom_Regulatory_Authority_Of_India_on_11_May_2016_1,CONST_1950_Art245,"f legislative action. If the legislature in exercise of its plenary power under Article 245 of the Constitution, proceeds to enact a law, those who would be affected by th"
sc_2016_Cellular_Operators_Association_Of_vs_Telecom_Regulatory_Authority_Of_India_on_11_May_2016_1,CONST_1950_Art21,"his Court recognised that the right to information is a fundamental right under Article 21 of the Constitution. This Court speaking through Sabyasachi Mukharji, J., as Hi"
sc_2016_Central_Industrial_Security_Force_And_vs_Abrar_Ali_on_14_December_2016_1,CONST_1950_Art226,ve been interfered with by the High Court in exercise of its jurisdiction under Article 226 of the Constitution of India. He further submitted that there is no bar of hold
sc_2016_Centre_For_Public_Interest_Litigation_vs_U_O_I_Ors_on_8_April_2016_1,CONST_1950_Art32,"est litigation in an organised manner. In the present writ petition filed under Article 32 of the Constitution of India, the petitioner challenges the decision of the Gov"
sc_2016_Centre_For_Public_Interest_Litigation_vs_U_O_I_Ors_on_8_April_2016_1,CONST_1950_Art14,"hat are competitive and maximize revenue may be arbitrary and face the wrath of Article 14 of the Constitution.” All the three respondents in this petition, namely, Union"
sc_2016_Ceo_Krishna_District_Coop_Central_vs_K_Hanumantha_Rao_And_Anr_on_9_December_2016_1,CONST_1950_Art226," play. It is now well settled that the High Courts, in exercise of powers under Article 226, do not interfere with the quantum of punishment unless there exist sufficient "
sc_2016_Chairman_And_Managing_Director_Central_vs_Central_Bank_Of_India_Sc_St_Employees_on_8_January_2016_1,CONST_1950_Art16,"Office Memorandum was issued in the year 1990, that is much before amendment in Article 16 of the Constitution, which was carried out in the year 1995 by inserting Clause"
sc_2016_Chairman_And_Managing_Director_Central_vs_Central_Bank_Of_India_Sc_St_Employees_on_8_January_2016_1,CONST_1950_Art226,"iction or jurisdiction of recall which is a facet of plenary jurisdiction under Article 226 of the Constitution, a grave miscarriage of justice occurs...” The Court also m"
sc_2016_Chairman_And_Managing_Director_Central_vs_Central_Bank_Of_India_Sc_St_Employees_on_8_January_2016_1,CONST_1950_Art12,"60/ 9   that matter, public sector/authorities which are treated as State under Article 12 of the Constitution). The laudable objective underlying these provisions is als"
sc_2016_Chamoli_Dist_Coop_Bank_Ltd_Tr_Sec_vs_Raghunath_Singh_Rana_Ors_on_17_May_2016_1,CONST_1950_Art311,"nclusion with regard to his guilt or innocence in respect of the charges. * * * Article 311(2) says that the employee shall be given a ""reasonable opportunity of being hea"
sc_2016_Committee_Of_Management_Anuragi_Devi_vs_State_Of_U_P_And_Anr_on_29_June_2016_1,CONST_1950_Art37,provided. 77. The fields which are sought to be covered under the provisions of Section 37 of the Universities Act and the statutes of various universities are clearly co
sc_2016_D_D_A_vs_M_S_Anant_Raj_Agencies_Pvt_Ltd_on_12_April_2016_1,CONST_1950_Art136,udgment and order by this Court in exercise of its appellate jurisdiction under Article 136 of the Constitution of India is required. On the basis of the aforesaid rival l
sc_2016_Dda_vs_M_S_Kenneth_Builders_Developers_Ltd_on_29_June_2016_1,CONST_1950_Art226, first submission of learned counsel for the DDA was that a writ petition under Article 226 of the Constitution was not maintainable for the reliefs claimed by Kenneth Bui
sc_2016_Delhi_Development_Authority_vs_Sukhbir_Singh_Ors_on_9_September_2016_1,CONST_1950_Art227," the 2013 Act (on 1st January, 2014), an application styled as a Petition under Article 227 of the Constitution of India was made by the Land Acquisition Collector in the "
sc_2016_Devinder_Singh_Ors_vs_State_Of_Punjab_Through_Cbi_on_25_April_2016_1,CONST_1950_Art24,s that the question of sanction can be considered at any stage of the proceedings. 24. In Matajog case AIR 1956 SC 44 the Constitution Bench held that the complaint 
sc_2016_Devinder_Singh_Ors_vs_State_Of_Punjab_Through_Cbi_on_25_April_2016_1,CONST_1950_Art197,"laint may not disclose all the facts to decide the question of applicability of Section 197, but facts subsequently coming either on police or judicial inquiry or even in "
sc_2016_Devraj_vs_State_Of_Chhattisgarh_on_25_July_2016_1,CONST_1950_Art136,e is no ground for interference by this Court in exercise of jurisdiction under Article 136 of the Constitution of India. It is well settled that this Court shall not reap
sc_2016_Dr_Rini_Johar_Anr_vs_State_Of_M_P_Ors___on_3_June_2016,CONST_1950_Art21,ganism in the various decisions of the court about the rights of a person under Article 21 of the Constitution of India. When citizenry rights are sometimes dashed agains
sc_2016_Dr_Rini_Johar_Anr_vs_State_Of_M_P_Ors___on_3_June_2016,CONST_1950_Art19,"A of the I.T. Act, 2000 has been struck down in its entirety being violative of Article 19(1)(a) and not saved under Article 19(2) in Shreya Singhal v. Union of Dr. Rini "
sc_2016_Essar_Steel_Ltd_vs_Union_Of_India_Ors_on_19_April_2016_1,CONST_1950_Art14,"y v. D. Ramarathnam, Asstt. Passport Officer[4], wherein it was held as under: “Article 14 says that the State shall not deny to any person equality before the law or the"
sc_2016_Essar_Steel_Ltd_vs_Union_Of_India_Ors_on_19_April_2016_1,CONST_1950_Art73,"third party to the contract, in purported exercise of its executive power under Article 73 of the Constitution, cannot interfere with, much less alter the terms and condi"
sc_2016_Essar_Steel_Ltd_vs_Union_Of_India_Ors_on_19_April_2016_1,CONST_1950_Art166,"resident or the Governor, as the case may be [Articles 77(2) and 166(2)]. 52. ……Article 166(1) requires that all executive action of the State Government shall be expresse"
sc_2016_Essar_Steel_Ltd_vs_Union_Of_India_Ors_on_19_April_2016_1,CONST_1950_Art226,"tion operates. Similarly, the High Court while examining its jurisdiction under Article 226 - and this Court while acting under Article 32 - would insist upon the said con"
sc_2016_Essar_Steel_Ltd_vs_Union_Of_India_Ors_on_19_April_2016_1,CONST_1950_Art32,xamining its jurisdiction under Article 226 - and this Court while acting under Article 32 - would insist upon the said condition being satisfied before ordering refund. 
sc_2016_Essar_Steel_Ltd_vs_Union_Of_India_Ors_on_19_April_2016_1,CONST_1950_Art136,"cy on the above grounds to determine whether it warrants our interference under Article 136 or not. Further, this Court neither has the jurisdiction nor the competence to "
sc_2016_Extra_Judl_Exec_Victim_Families_vs_Union_Of_India_Anr_on_13_July_2016_1,CONST_1950_Art117,"he meaning of that expression in the Constitution - nothing more and nothing less. 117. Therefore, the questions before us are quite straightforward – to quell this i"
sc_2016_Extra_Judl_Exec_Victim_Families_vs_Union_Of_India_Anr_on_13_July_2016_1,CONST_1950_Art127,o assure the people that there is no abuse or misuse of power by the armed forces. 127. Om Prakash v. State of Jharkhand[53] dealt with an alleged fake encounter by t
sc_2016_Extra_Judl_Exec_Victim_Families_vs_Union_Of_India_Anr_on_13_July_2016_1,CONST_1950_Art142,"tention of the petitioners that in most cases the arms are planted on the victims. 142. Significantly, the word ‘enemy’ is used in conjunction with the word ‘alien’ i"
sc_2016_Extra_Judl_Exec_Victim_Families_vs_Union_Of_India_Anr_on_13_July_2016_1,CONST_1950_Art70, is triable only by ordinary criminal courts. The exceptions are to be found in Section 70 of the Army Act and one of them is if the offence is committed by the accused w
sc_2016_Extra_Judl_Exec_Victim_Families_vs_Union_Of_India_Anr_on_13_July_2016_1,CONST_1950_Art125,n active service. 155. The Constitution Bench then considered the provisions of Section 125 and Section 126 of the Army Act in this context. It was held that Section 125 p
sc_2016_Extra_Judl_Exec_Victim_Families_vs_Union_Of_India_Anr_on_13_July_2016_1,CONST_1950_Art126,. 155. The Constitution Bench then considered the provisions of Section 125 and Section 126 of the Army Act in this context. It was held that Section 125 pre-supposes that
sc_2016_Extra_Judl_Exec_Victim_Families_vs_Union_Of_India_Anr_on_13_July_2016_1,CONST_1950_Art32,"                 J U D G M E N T Madan B. Lokur, J. 1. This writ petition under Article 32 of the Constitution raises important and fundamental questions of human rights "
sc_2016_Extra_Judl_Exec_Victim_Families_vs_Union_Of_India_Anr_on_13_July_2016_1,CONST_1950_Art355,ce and this involves the security of the States as well. A reference is made to Article 355 of the Constitution which casts a duty on the Union to protect every State agai
sc_2016_Extra_Judl_Exec_Victim_Families_vs_Union_Of_India_Anr_on_13_July_2016_1,CONST_1950_Art226," precluded, at the threshold, from approaching this Court or a High Court under Article 226 of the Constitution, possible grave injustice would have been done to the next "
sc_2016_Extra_Judl_Exec_Victim_Families_vs_Union_Of_India_Anr_on_13_July_2016_1,CONST_1950_Art352,at deployment of the armed forces should only be in aid of the civil power. 83. Article 352 of the Constitution finds place in Part XVIII of the Constitution relating to e
sc_2016_Extra_Judl_Exec_Victim_Families_vs_Union_Of_India_Anr_on_13_July_2016_1,CONST_1950_Art356,ernal disturbance (not covered by Article 352 of the Constitution) by resort to Article 356 of the Constitution.[21] This has been so held in Naga People’s Movement of Hum
sc_2016_Extra_Judl_Exec_Victim_Families_vs_Union_Of_India_Anr_on_13_July_2016_1,CONST_1950_Art22,"Significantly, the word ‘enemy’ is used in conjunction with the word ‘alien’ in Article 22 of the Constitution. But the Army Act provides for a broader and more inclusive"
sc_2016_Extra_Judl_Exec_Victim_Families_vs_Union_Of_India_Anr_on_13_July_2016_1,CONST_1950_Art101,"ect of such assembly. Similarly, an act of piracy inherently involves violence. Article 101 of the United Nations Convention on the Law of the Sea explains piracy as follo"
sc_2016_Extra_Judl_Exec_Victim_Families_vs_Union_Of_India_Anr_on_13_July_2016_1,CONST_1950_Art21," is a citizen of our country entitled to all fundamental rights including under Article 21 of the Constitution. In this regard, it is worth recalling what the Constitutio"
sc_2016_Extra_Judl_Exec_Victim_Families_vs_Union_Of_India_Anr_on_13_July_2016_1,CONST_1950_Art14,under Sections 125 and 126 of the Army Act is not unguided and does not violate Article 14 of the Constitution. 157. In Balbir Singh the accused was in active service in 
sc_2016_Ghanshyam_Sarda_vs_Sashikant_Jha_Director_M_S_Jk_Jute_on_18_November_2016_1,CONST_1950_Art142,"s shocking that an order passed by this Court, in the face of the provisions of Article 142 of the Constitution, could be ignored or disregarded by the officials who went "
