section_id,act_id,chapter_id,section_number,heading,full_text
BNS_2023_s180,BNS_2023,BNS_2023_CH_X,180,"Possession of forged or counterfeit coin, Government stamp, currency-notes or banknotes","Possession of forged or counterfeit coin, Government stamp, currency-notes or banknotes.—Whoever has in his possession any forged or counterfeit coin, stamp, currency-note or bank-note, 
knowing or having reason to believe the same to be forged or counterfeit and intending to use the same as 
genuine or that it may be used as genuine, shall be punished with imprisonment of either description for a 
term which may extend to seven years, or with fine, or with both. 
Explanation.—If a person establishes the possession of the forged or counterfeit coin, stamp, 
currency-note or bank-note to be from a lawful source, it shall not constitute an offence under this"
BNS_2023_s181,BNS_2023,BNS_2023_CH_X,181,"Making or possessing instruments or materials for forging or counterfeiting coin,","Making or possessing instruments or materials for forging or counterfeiting coin, 
Government stamp, currency-notes or bank-notes.—Whoever makes or mends, or performs any part 
of the process of making or mending, or buys or sells or disposes of, or has in his possession, any 
machinery, die, or instrument or material for the purpose of being used, or knowing or having reason to 
believe that it is intended to be used, for forging or counterfeiting any coin, stamp issued by Government 
for the purpose of revenue, currency-note or bank-note, shall be punished with imprisonment for life, or"
BNS_2023_s182,BNS_2023,BNS_2023_CH_X,182,Making or using documents resembling currency-notes or bank-notes,"Making or using documents resembling currency-notes or bank-notes.—(1) Whoever 
makes, or causes to be made, or uses for any purpose whatsoever, or delivers to any person, any 
document purporting to be, or in any way resembling, or so nearly resembling as to be calculated to

a different weight or composition from the weight or composition fixed by law, shall be punished with"
BNS_2023_s188,BNS_2023,BNS_2023_CH_X,188,Unlawfully taking coining instrument from mint,"Unlawfully taking coining instrument from mint.—Whoever, without lawful authority, takes 
out of any mint, lawfully established in India, any coining tool or instrument, shall be punished with 
CHAPTER XI 
OF OFFENCES AGAINST THE PUBLIC TRANQUILLITY"
BNS_2023_s189,BNS_2023,BNS_2023_CH_XI,189,Unlawful assembly,"Unlawful assembly.—(1) An assembly of five or more persons is designated an “unlawful 
assembly”, if the common object of the persons composing that assembly is— 
(a) to overawe by criminal force, or show of criminal force, the Central Government or any State 
Government or Parliament or the Legislature of any State, or any public servant in the exercise of the 
lawful power of such public servant; or 
(b) to resist the execution of any law, or of any legal process; or 
(c) to commit any mischief or criminal trespass, or other offence; or 
(d) by means of criminal force, or show of criminal force, to any person, to take or obtain 
possession of any property, or to deprive any person of the enjoyment of a right of way, or of the use 
of water or other incorporeal right of which he is in possession or enjoyment, or to enforce any right 
or supposed right; or 
(e) by means of criminal force, or show of criminal force, to compel any person to do what he is 
not legally bound to do, or to omit to do what he is legally entitled to do. 
Explanation.—An assembly which was not unlawful when it assembled, may subsequently become 
an unlawful assembly. 
(2) Whoever, being aware of facts which render any assembly an unlawful assembly, intentionally 
joins that assembly, or continues in it, is said to be a member of an unlawful assembly and such member 
shall be punished with imprisonment of either description for a term which may extend to six months, or 
(3) Whoever joins or continues in an unlawful assembly, knowing that such unlawful assembly has 
been commanded in the manner prescribed by law to disperse, shall be punished with imprisonment of 
(4) Whoever, being armed with any deadly weapon, or with anything which, used as a weapon of 
offence, is likely to cause death, is a member of an unlawful assembly, shall be punished with 
(5) Whoever knowingly joins or continues in any assembly of five or more persons likely to cause a 
disturbance of the public peace, after such assembly has been lawfully commanded to disperse, shall be 
punished with imprisonment of either description for a term which may extend to six months, or with 
Explanation.—If the assembly is an unlawful assembly within the meaning of sub-section (1), the 
offender shall be punishable under sub-section (3). 
(6) Whoever hires or engages, or employs, or promotes, or connives at the hiring, engagement or 
employment of any person to join or become a member of any unlawful assembly, shall be punishable as 
a member of such unlawful assembly, and for any offence which may be committed by any such person 
as a member of such unlawful assembly in pursuance of such hiring, engagement or employment, in the 
same manner as if he had been a member of such unlawful assembly, or himself had committed such

(7) Whoever harbours, receives or assembles, in any house or premises in his occupation or charge, 
or under his control any persons knowing that such persons have been hired, engaged or employed, or are 
about to be hired, engaged or employed, to join or become members of an unlawful assembly, shall be 
punished with imprisonment of either description for a term which may extend to six months, or with 
(8) Whoever is engaged, or hired, or offers or attempts to be hired or engaged, to do or assist in doing 
any of the acts specified in sub-section (1), shall be punished with imprisonment of either description for 
a term which may extend to six months, or with fine, or with both. 
(9) Whoever, being so engaged or hired as referred to in sub-section (8), goes armed, or engages or 
offers to go armed, with any deadly weapon or with anything which used as a weapon of offence is likely 
to cause death, shall be punished with imprisonment of either description for a term which may extend to"
BNS_2023_s190,BNS_2023,BNS_2023_CH_XI,190,Every member of unlawful assembly guilty of offence committed in prosecution of,"Every member of unlawful assembly guilty of offence committed in prosecution of 
common object.—If an offence is committed by any member of an unlawful assembly in prosecution of 
the common object of that assembly, or such as the members of that assembly knew to be likely to be 
committed in prosecution of that object, every person who, at the time of the committing of that offence, 
is a member of the same assembly, is guilty of that offence."
BNS_2023_s191,BNS_2023,BNS_2023_CH_XI,191,Rioting,"Rioting.—(1) Whenever force or violence is used by an unlawful assembly, or by any member 
thereof, in prosecution of the common object of such assembly, every member of such assembly is guilty 
of the offence of rioting. 
(2) Whoever is guilty of rioting, shall be punished with imprisonment of either description for a term 
(3) Whoever is guilty of rioting, being armed with a deadly weapon or with anything which, used as a 
weapon of offence, is likely to cause death, shall be punished with imprisonment of either description for 
a term which may extend to five years, or with fine, or with both."
BNS_2023_s192,BNS_2023,BNS_2023_CH_XI,192,Wantonly giving provocation with intent to cause riot-if rioting be committed; if not,"Wantonly giving provocation with intent to cause riot-if rioting be committed; if not 
committed.—Whoever malignantly, or wantonly by doing anything which is illegal, gives provocation to 
any person intending or knowing it to be likely that such provocation will cause the offence of rioting to 
be committed, shall, if the offence of rioting be committed in consequence of such provocation, be 
punished with imprisonment of either description for a term which may extend to one year, or with fine, 
or with both; and if the offence of rioting be not committed, with imprisonment of either description for a 
term which may extend to six months, or with fine, or with both."
BNS_2023_s193,BNS_2023,BNS_2023_CH_XI,193,"Liability of owner, occupier, etc., of land on which an unlawful assembly or riot takes","Liability of owner, occupier, etc., of land on which an unlawful assembly or riot takes 
place.—(1) Whenever any unlawful assembly or riot takes place, the owner or occupier of the land upon 
which such unlawful assembly is held, or such riot is committed, and any person having or claiming an 
interest in such land, shall be punishable with fine not exceeding one thousand rupees, if he or his agent 
or manager, knowing that such offence is being or has been committed, or having reason to believe it is 
likely to be committed, do not give the earliest notice thereof in his or their power to the officer in charge 
at the nearest police station, and do not, in the case of his or their having reason to believe that it was 
about to be committed, use all lawful means in his or their power to prevent it and, in the event of its 
taking place, do not use all lawful means in his or their power to disperse or suppress the riot or unlawful 
assembly. 
(2) Whenever a riot is committed for the benefit or on behalf of any person who is the owner or 
occupier of any land respecting which such riot takes place or who claims any interest in such land, or in 
the subject of any dispute which gave rise to the riot, or who has accepted or derived any benefit 
therefrom, such person shall be punishable with fine, if he or his agent or manager, having reason to 
believe that such riot was likely to be committed or that the unlawful assembly by which such riot was 
committed was likely to be held, shall not respectively use all lawful means in his or their power to 
prevent such assembly or riot from taking place, and for suppressing and dispersing the same.

(3) Whenever a riot is committed for the benefit or on behalf of any person who is the owner or 
occupier of any land respecting which such riot takes place, or who claims any interest in such land, or in 
the subject of any dispute which gave rise to the riot, or who has accepted or derived any benefit 
therefrom, the agent or manager of such person shall be punishable with fine, if such agent or manager, 
having reason to believe that such riot was likely to be committed, or that the unlawful assembly by 
which such riot was committed was likely to be held, shall not use all lawful means in his power to 
prevent such riot or assembly from taking place and for suppressing and dispersing the same."
BNS_2023_s194,BNS_2023,BNS_2023_CH_XI,194,Affray,"Affray.—(1) When two or more persons, by fighting in a public place, disturb the public peace, 
they are said to commit an affray. 
(2) Whoever commits an affray, shall be punished with imprisonment of either description for a term 
which may extend to one month, or with fine which may extend to one thousand rupees, or with both."
BNS_2023_s195,BNS_2023,BNS_2023_CH_XI,195,"Assaulting or obstructing public servant when suppressing riot, etc","Assaulting or obstructing public servant when suppressing riot, etc.—(1) Whoever assaults 
or obstructs any public servant or uses criminal force on any public servant in the discharge of his duty as 
such public servant in endeavouring to disperse an unlawful assembly, or to suppress a riot or affray, 
shall be punished with imprisonment of either description for a term which may extend to three years, or 
with fine which shall not be less than twenty-five thousand rupees, or with both. 
(2) Whoever threatens to assault or attempts to obstruct any public servant or threatens or attempts to 
use criminal force to any public servant in the discharge of his duty as such public servant in 
endeavouring to disperse an unlawful assembly, or to suppress a riot or affray, shall be punished with 
imprisonment of either description for a term which may extend to one year, or with fine, or with both."
BNS_2023_s196,BNS_2023,BNS_2023_CH_XI,196,"Promoting enmity between different groups on grounds of religion, race, place of birth,","Promoting enmity between different groups on grounds of religion, race, place of birth, 
residence, language, etc., and doing acts prejudicial to maintenance of harmony.—(1) Whoever— 
(a) by words, either spoken or written, or by signs or by visible representations or through 
electronic communication or otherwise, promotes or attempts to promote, on grounds of religion, 
race, place of birth, residence, language, caste or community or any other ground whatsoever, 
disharmony or feelings of enmity, hatred or ill-will between different religious, racial, language or 
regional groups or castes or communities; or 
(b) commits any act which is prejudicial to the maintenance of harmony between different 
religious, racial, language or regional groups or castes or communities, and which disturbs or is likely 
to disturb the public tranquillity; or 
(c) organises any exercise, movement, drill or other similar activity intending that the participants 
in such activity shall use or be trained to use criminal force or violence or knowing it to be likely that 
the participants in such activity will use or be trained to use criminal force or violence, or participates 
in such activity intending to use or be trained to use criminal force or violence or knowing it to be 
likely that the participants in such activity will use or be trained to use criminal force or violence, 
against any religious, racial, language or regional group or caste or community and such activity for 
any reason whatsoever causes or is likely to cause fear or alarm or a feeling of insecurity amongst 
members of such religious, racial, language or regional group or caste or community, 
shall be punished with imprisonment which may extend to three years, or with fine, or with both. 
(2) Whoever commits an offence specified in sub-section (1) in any place of worship or in any 
assembly engaged in the performance of religious worship or religious ceremonies, shall be punished 
with imprisonment which may extend to five years and shall also be liable to fine."
BNS_2023_s197,BNS_2023,BNS_2023_CH_XI,197,"Imputations, assertions prejudicial to national integration","Imputations, assertions prejudicial to national integration.—(1) Whoever, by words either 
spoken or written or by signs or by visible representations or through electronic communication or 
otherwise,— 
(a) makes or publishes any imputation that any class of persons cannot, by reason of their being 
members of any religious, racial, language or regional group or caste or community, bear true faith 
and allegiance to the Constitution of India as by law established or uphold the sovereignty and 
integrity of India; or

(b) asserts, counsels, advises, propagates or publishes that any class of persons shall, by reason of 
their being members of any religious, racial, language or regional group or caste or community, be 
denied, or deprived of their rights as citizens of India; or 
(c) makes or publishes any assertion, counsel, plea or appeal concerning the obligation of any 
class of persons, by reason of their being members of any religious, racial, language or regional 
group or caste or community, and such assertion, counsel, plea or appeal causes or is likely to cause 
disharmony or feelings of enmity or hatred or ill-will between such members and other persons; or 
(d) makes or publishes false or misleading information, jeopardising the sovereignty, unity and 
integrity or security of India, 
shall be punished with imprisonment which may extend to three years, or with fine, or with both. 
(2) Whoever commits an offence specified in sub-section (1) in any place of worship or in any 
assembly engaged in the performance of religious worship or religious ceremonies, shall be punished 
with imprisonment which may extend to five years and shall also be liable to fine. 

CHAPTER XII 
OF OFFENCES BY OR RELATING TO PUBLIC SERVANTS"
BNS_2023_s198,BNS_2023,BNS_2023_CH_XII,198,"Public servant disobeying law, with intent to cause injury to any person","Public servant disobeying law, with intent to cause injury to any person.—Whoever, being a 
public servant, knowingly disobeys any direction of the law as to the way in which he is to conduct 
himself as such public servant, intending to cause, or knowing it to be likely that he will by such 
disobedience, cause injury to any person, shall be punished with simple imprisonment for a term which 
may extend to one year, or with fine, or with both. 
A, being an officer directed by law to take property in execution, in order to satisfy a decree 
pronounced in Z’s favour by a Court, knowingly disobeys that direction of law, with the knowledge that 
he is likely thereby to cause injury to Z. A has committed the offence defined in this section."
BNS_2023_s199,BNS_2023,BNS_2023_CH_XII,199,Public servant disobeying direction under law,"Public servant disobeying direction under law.—Whoever, being a public servant,— 
(a) knowingly disobeys any direction of the law which prohibits him from requiring the 
attendance at any place of any person for the purpose of investigation into an offence or any other 
matter; or 
(b) knowingly disobeys, to the prejudice of any person, any other direction of the law regulating 
the manner in which he shall conduct such investigation; or 
(c) fails to record any information given to him under sub-section (1) of section 173 of the 
Bharatiya Nagarik Suraksha Sanhita, 2023 in relation to cognizable offence punishable under 
section 64, section 65, section 66, section 67, section 68, section 70, section 71, section 74, 
section 76, section 77, section 79, section 124, section 143 or section 144, 
shall be punished with rigorous imprisonment for a term which shall not be less than six months but 
which may extend to two years, and shall also be liable to fine."
BNS_2023_s200,BNS_2023,BNS_2023_CH_XII,200,Punishment for non-treatment of victim,"Punishment for non-treatment of victim.—Whoever, being in charge of a hospital, public or 
private, whether run by the Central Government, the State Government, local bodies or any other person, 
contravenes the provisions of section 397 of the Bharatiya Nagarik Suraksha Sanhita, 2023, shall be 
punished with imprisonment for a term which may extend to one year, or with fine, or with both."
BNS_2023_s201,BNS_2023,BNS_2023_CH_XII,201,Public servant framing an incorrect document with intent to cause injury,"Public servant framing an incorrect document with intent to cause injury.—Whoever, 
being a public servant, and being, as such public servant, charged with the preparation or translation of 
any document or electronic record, frames, prepares or translates that document or electronic record in a 
manner which he knows or believes to be incorrect, intending thereby to cause or knowing it to be likely 
that he may thereby cause injury to any person, shall be punished with imprisonment of either description 
for a term which may extend to three years, or with fine, or with both."
BNS_2023_s202,BNS_2023,BNS_2023_CH_XII,202,Public servant unlawfully engaging in trade,"Public servant unlawfully engaging in trade.—Whoever, being a public servant, and being 
legally bound as such public servant not to engage in trade, engages in trade, shall be punished with 
simple imprisonment for a term which may extend to one year, or with fine, or with both or with 
community service."
BNS_2023_s203,BNS_2023,BNS_2023_CH_XII,203,Public servant unlawfully buying or bidding for property,"Public servant unlawfully buying or bidding for property.—Whoever, being a public 
servant, and being legally bound as such public servant, not to purchase or bid for certain property, 
purchases or bids for that property, either in his own name or in the name of another, or jointly, or in 
shares with others, shall be punished with simple imprisonment for a term which may extend to two 
years, or with fine, or with both; and the property, if purchased, shall be confiscated."
BNS_2023_s204,BNS_2023,BNS_2023_CH_XII,204,Personating a public servant,"Personating a public servant.—Whoever pretends to hold any particular office as a public 
servant, knowing that he does not hold such office or falsely personates any other person holding such 
office, and in such assumed character does or attempts to do any act under colour of such office, shall be 
punished with imprisonment of either description for a term which shall not be less than six months but 
which may extend to three years and with fine."
BNS_2023_s205,BNS_2023,BNS_2023_CH_XII,205,Wearing garb or carrying token used by public servant with fraudulent intent,"Wearing garb or carrying token used by public servant with fraudulent intent.—Whoever, 
not belonging to a certain class of public servants, wears any garb or carries any token resembling any 
garb or token used by that class of public servants, with the intention that it may be believed, or with the 
knowledge that it is likely to be believed, that he belongs to that class of public servants, shall be 
punished with imprisonment of either description for a term which may extend to three months, or with 
fine which may extend to five thousand rupees, or with both. 
CHAPTER XIII 
OF CONTEMPTS OF THE LAWFUL AUTHORITY OF PUBLIC SERVANTS"
BNS_2023_s206,BNS_2023,BNS_2023_CH_XIII,206,Absconding to avoid service of summons or other proceeding,"Absconding to avoid service of summons or other proceeding.—Whoever absconds in order 
to avoid being served with a summons, notice or order proceeding from any public servant legally 
competent, as such public servant, to issue such summons, notice or order,— 
(b) where such summons or notice or order is to attend in person or by agent, or to produce a 
document or an electronic record in a Court shall be punished with simple imprisonment for a term 
which may extend to six months, or with fine which may extend to ten thousand rupees, or with both."
BNS_2023_s207,BNS_2023,BNS_2023_CH_XIII,207,"Preventing service of summons or other proceeding, or preventing publication thereof","Preventing service of summons or other proceeding, or preventing publication thereof.—
Whoever in any manner intentionally prevents the serving on himself, or on any other person, of any 
summons, notice or order proceeding from any public servant legally competent, as such public servant, 
to issue such summons, notice or order, or intentionally prevents the lawful affixing to any place of any 
such summons, notice or order or intentionally removes any such summons, notice or order from any 
place to which it is lawfully affixed or intentionally prevents the lawful making of any proclamation, 
under the authority of any public servant legally competent, as such public servant, to direct such 
proclamation to be made,— 
(b) where the summons, notice, order or proclamation is to attend in person or by agent, or to 
produce a document or electronic record in a Court, with simple imprisonment for a term which may 
extend to six months, or with fine which may extend to ten thousand rupees, or with both."
BNS_2023_s208,BNS_2023,BNS_2023_CH_XIII,208,Non-attendance in obedience to an order from public servant,"Non-attendance in obedience to an order from public servant.—Whoever, being legally 
bound to attend in person or by an agent at a certain place and time in obedience to a summons, notice, 
order, or proclamation proceeding from any public servant legally competent, as such public servant, to 
issue the same, intentionally omits to attend at that place or time or departs from the place where he is 
bound to attend before the time at which it is lawful for him to depart,—

(b) where the summons, notice, order or proclamation is to attend in person or by agent in a 
Court with simple imprisonment for a term which may extend to six months, or with fine which may 
extend to ten thousand rupees, or with both. 
(a) A, being legally bound to appear before a High Court, in obedience to a subpoena issuing 
from that Court, intentionally omits to appear. A has committed the offence defined in this section. 
(b) A, being legally bound to appear before a District Judge, as a witness, in obedience to a 
summons issued by that District Judge intentionally omits to appear. A has committed the offence 
defined in this section."
BNS_2023_s209,BNS_2023,BNS_2023_CH_XIII,209,Non-appearance in response to a proclamation under section 84 of Bharatiya Nagarik,"Non-appearance in response to a proclamation under section 84 of Bharatiya Nagarik 
Suraksha Sanhita, 2023.—Whoever fails to appear at the specified place and the specified time as 
required by a proclamation published under sub-section (1) of section 84 of the Bharatiya Nagarik 
Suraksha Sanhita, 2023, shall be punished with imprisonment for a term which may extend to three years, 
or with fine, or with both, or with community service, and where a declaration has been made under 
sub-section (4) of that section pronouncing him as a proclaimed offender, he shall be punished with 
imprisonment for a term which may extend to seven years and shall also be liable to fine."
BNS_2023_s210,BNS_2023,BNS_2023_CH_XIII,210,Omission to produce document or electronic record to public servant by person legally,"Omission to produce document or electronic record to public servant by person legally 
bound to produce it.—Whoever, being legally bound to produce or deliver up any document or 
electronic record to any public servant, as such, intentionally omits so to produce or deliver up the 
same,— 
(b) and where the document or electronic record is to be produced or delivered up to a Court with 
simple imprisonment for a term which may extend to six months, or with fine which may extend to 
ten thousand rupees, or with both. 
A, being legally bound to produce a document before a District Court, intentionally omits to produce 
the same. A has committed the offence defined in this section."
BNS_2023_s211,BNS_2023,BNS_2023_CH_XIII,211,Omission to give notice or information to public servant by person legally bound to give,"Omission to give notice or information to public servant by person legally bound to give 
it.—Whoever, being legally bound to give any notice or to furnish information on any subject to any 
public servant, as such, intentionally omits to give such notice or to furnish such information in the 
manner and at the time required by law,— 
(b) where the notice or information required to be given respects the commission of an offence, 
or is required for the purpose of preventing the commission of an offence, or in order to the 
apprehension of an offender, with simple imprisonment for a term which may extend to six months, 
or with fine which may extend to ten thousand rupees, or with both; 
(c) where the notice or information required to be given is required by an order passed 
under section 394 of the Bharatiya Nagarik Suraksha Sanhita, 2023 with imprisonment of either 
description for a term which may extend to six months, or with fine which may extend to one"
BNS_2023_s212,BNS_2023,BNS_2023_CH_XIII,212,Furnishing false information,"Furnishing false information.—Whoever, being legally bound to furnish information on any 
subject to any public servant, as such, furnishes, as true, information on the subject which he knows or 
has reason to believe to be false,—

(b) to use the lawful power of such public servant to the injury or annoyance of any person, 
shall be punished with imprisonment of either description for a term which may extend to one year, or 
with fine which may extend to ten thousand rupees, or with both. 
(a) A informs a Magistrate that Z, a police officer, subordinate to such Magistrate, has been 
guilty of neglect of duty or misconduct, knowing such information to be false, and knowing it to be 
likely that the information will cause the Magistrate to dismiss Z. A has committed the offence 
defined in this section. 
(b) A falsely informs a public servant that Z has contraband salt in a secret place, knowing such 
information to be false, and knowing that it is likely that the consequence of the information will be a 
search of Z’s premises, attended with annoyance to Z. A has committed the offence defined in this 
(c) A falsely informs a policeman that he has been assaulted and robbed in the neighbourhood of 
a particular village. He does not mention the name of any person as one of his assailants, but knows it 
to be likely that in consequence of this information the police will make enquiries and institute 
searches in the village to the annoyance of the villagers or some of them. A has committed an offence 
under this section."
BNS_2023_s218,BNS_2023,BNS_2023_CH_XIII,218,Resistance to taking of property by lawful authority of a public servant,"Resistance to taking of property by lawful authority of a public servant.—Whoever offers 
any resistance to the taking of any property by the lawful authority of any public servant, knowing or 
having reason to believe that he is such public servant, shall be punished with imprisonment of either 
description for a term which may extend to six months, or with fine which may extend to ten thousand"
BNS_2023_s219,BNS_2023,BNS_2023_CH_XIII,219,Obstructing sale of property offered for sale by authority of public servant,"Obstructing sale of property offered for sale by authority of public servant.—Whoever 
intentionally obstructs any sale of property offered for sale by the lawful authority of any public servant, 
as such, shall be punished with imprisonment of either description for a term which may extend to one 
month, or with fine which may extend to five thousand rupees, or with both."
BNS_2023_s220,BNS_2023,BNS_2023_CH_XIII,220,Illegal purchase or bid for property offered for sale by authority of public servant,"Illegal purchase or bid for property offered for sale by authority of public servant.—
Whoever, at any sale of property held by the lawful authority of a public servant, as such, purchases or 
bids for any property on account of any person, whether himself or any other, whom he knows to be 
under a legal incapacity to purchase that property at that sale, or bids for such property not intending to 
perform the obligations under which he lays himself by such bidding, shall be punished with 
imprisonment of either description for a term which may extend to one month, or with fine which may 
extend to two hundred rupees, or with both."
BNS_2023_s221,BNS_2023,BNS_2023_CH_XIII,221,Obstructing public servant in discharge of public functions,"Obstructing public servant in discharge of public functions.—Whoever voluntarily obstructs 
any public servant in the discharge of his public functions, shall be punished with imprisonment of either 
description for a term which may extend to three months, or with fine which may extend to two thousand 
and five hundred rupees, or with both."
BNS_2023_s222,BNS_2023,BNS_2023_CH_XIII,222,Omission to assist public servant when bound by law to give assistance,"Omission to assist public servant when bound by law to give assistance.—Whoever, being 
bound by law to render or furnish assistance to any public servant in the execution of his public duty, 
intentionally omits to give such assistance,— 
with fine which may extend to two thousand and five hundred rupees, or with both; 
(b) and where such assistance be demanded of him by a public servant legally competent to make 
such demand for the purposes of executing any process lawfully issued by a Court or of preventing 
the commission of an offence, or suppressing a riot, or affray, or of apprehending a person charged 
with or guilty of an offence, or of having escaped from lawful custody, shall be punished with simple 
imprisonment for a term which may extend to six months, or with fine which may extend to five"
BNS_2023_s223,BNS_2023,BNS_2023_CH_XIII,223,Disobedience to order duly promulgated by public servant,"Disobedience to order duly promulgated by public servant.—Whoever, knowing that, by an 
order promulgated by a public servant lawfully empowered to promulgate such order, he is directed to 
abstain from a certain act, or to take certain order with certain property in his possession or under his 
management, disobeys such direction,— 
(a) shall, if such disobedience causes or tends to cause obstruction, annoyance or injury, or risk 
of obstruction, annoyance or injury, to any person lawfully employed, be punished with simple 
imprisonment for a term which may extend to six months, or with fine which may extend to two 
thousand and five hundred rupees, or with both; 
(b) and where such disobedience causes or tends to cause danger to human life, health or safety, 
or causes or tends to cause a riot or affray, shall be punished with imprisonment of either description 
for a term which may extend to one year, or with fine which may extend to five thousand rupees, or 
Explanation.—It is not necessary that the offender should intend to produce harm, or contemplate his 
disobedience as likely to produce harm. It is sufficient that he knows of the order which he disobeys, and 
that his disobedience produces, or is likely to produce, harm. 
An order is promulgated by a public servant lawfully empowered to promulgate such order, directing 
that a religious procession shall not pass down a certain street. A knowingly disobeys the order, and 
thereby causes danger of riot. A has committed the offence defined in this section."
BNS_2023_s224,BNS_2023,BNS_2023_CH_XIII,224,Threat of injury to public servant,"Threat of injury to public servant.—Whoever holds out any threat of injury to any public 
servant, or to any person in whom he believes that public servant to be interested, for the purpose of 
inducing that public servant to do any act, or to forbear or delay to do any act, connected with the 
exercise of the public functions of such public servant, shall be punished with imprisonment of either 
description for a term which may extend to two years, or with fine, or with both."
BNS_2023_s225,BNS_2023,BNS_2023_CH_XIII,225,Threat of injury to induce person to refrain from applying for protection to public,"Threat of injury to induce person to refrain from applying for protection to public 
servant.—Whoever holds out any threat of injury to any person for the purpose of inducing that person 
to refrain or desist from making a legal application for protection against any injury to any public servant 
legally empowered as such to give such protection, or to cause such protection to be given, shall be 
punished with imprisonment of either description for a term which may extend to one year, or with fine,"
BNS_2023_s226,BNS_2023,BNS_2023_CH_XIII,226,Attempt to commit suicide to compel or restrain exercise of lawful power,"Attempt to commit suicide to compel or restrain exercise of lawful power.—Whoever 
attempts to commit suicide with the intent to compel or restrain any public servant from discharging his 
official duty shall be punished with simple imprisonment for a term which may extend to one year, or 
with fine, or with both, or with community service. 

CHAPTER XIV 
OF FALSE EVIDENCE AND OFFENCES AGAINST PUBLIC JUSTICE"
BNS_2023_s227,BNS_2023,BNS_2023_CH_XIV,227,Giving false evidence,"Giving false evidence.—Whoever, being legally bound by an oath or by an express provision of 
law to state the truth, or being bound by law to make a declaration upon any subject, makes any statement 
which is false, and which he either knows or believes to be false or does not believe to be true, is said to 
give false evidence. 
Explanation 1.—A statement is within the meaning of this section, whether it is made verbally or 
otherwise. 
Explanation 2.—A false statement as to the belief of the person attesting is within the meaning of this 
section, and a person may be guilty of giving false evidence by stating that he believes a thing which he 
does not believe, as well as by stating that he knows a thing which he does not know.

(a) A, in support of a just claim which B has against Z for one thousand rupees, falsely swears on a 
trial that he heard Z admit the justice of B’s claim. A has given false evidence. 
(b) A, being bound by an oath to state the truth, states that he believes a certain signature to be the 
handwriting of Z, when he does not believe it to be the handwriting of Z. Here A states that which he 
knows to be false, and therefore gives false evidence. 
(c) A, knowing the general character of Z’s handwriting, states that he believes a certain signature to 
be the handwriting of Z; A in good faith believing it to be so. Here A’s statement is merely as to his 
belief, and is true as to his belief, and therefore, although the signature may not be the handwriting of Z, 
A has not given false evidence. 
(d) A, being bound by an oath to state the truth, states that he knows that Z was at a particular place 
on a particular day, not knowing anything upon the subject. A gives false evidence whether Z was at that 
place on the day named or not. 
(e) A, an interpreter or translator, gives or certifies as a true interpretation or translation of a 
statement or document which he is bound by oath to interpret or translate truly, that which is not and 
which he does not believe to be a true interpretation or translation. A has given false evidence."
BNS_2023_s228,BNS_2023,BNS_2023_CH_XIV,228,Fabricating false evidence,"Fabricating false evidence.—Whoever causes any circumstance to exist or makes any false 
entry in any book or record, or electronic record or makes any document or electronic record containing a 
false statement, intending that such circumstance, false entry or false statement may appear in evidence in 
a judicial proceeding, or in a proceeding taken by law before a public servant as such, or before an 
arbitrator, and that such circumstance, false entry or false statement, so appearing in evidence, may cause 
any person who in such proceeding is to form an opinion upon the evidence, to entertain an erroneous 
opinion touching any point material to the result of such proceeding is said “to fabricate false evidence”. 
(a) A puts jewels into a box belonging to Z, with the intention that they may be found in that box, and 
that this circumstance may cause Z to be convicted of theft. A has fabricated false evidence. 
(b) A makes a false entry in his shop-book for the purpose of using it as corroborative evidence in a 
Court. A has fabricated false evidence. 
(c) A, with the intention of causing Z to be convicted of a criminal conspiracy, writes a letter in 
imitation of Z’s handwriting, purporting to be addressed to an accomplice in such criminal conspiracy, 
and puts the letter in a place which he knows that the officers of the police are likely to search. A has 
fabricated false evidence."
BNS_2023_s229,BNS_2023,BNS_2023_CH_XIV,229,Punishment for false evidence,"Punishment for false evidence.—(1) Whoever intentionally gives false evidence in any stage 
of a judicial proceeding, or fabricates false evidence for the purpose of being used in any stage of a 
judicial proceeding, shall be punished with imprisonment of either description for a term which may 
extend to seven years, and shall also be liable to fine which may extend to ten thousand rupees. 
(2) Whoever intentionally gives or fabricates false evidence in any case other than that referred to in 
sub-section (1), shall be punished with imprisonment of either description for a term which may extend to 
three years, and shall also be liable to fine which may extend to five thousand rupees. 
Explanation 1.—A trial before a Court-martial is a judicial proceeding. 
Explanation 2.—An investigation directed by law preliminary to a proceeding before a Court, is a 
stage of a judicial proceeding, though that investigation may not take place before a Court. 
A, in an enquiry before a Magistrate for the purpose of ascertaining whether Z ought to be committed 
for trial, makes on oath a statement which he knows to be false. As this enquiry is a stage of a judicial 
proceeding, A has given false evidence.

Explanation 3.—An investigation directed by a Court according to law, and conducted under the 
authority of a Court, is a stage of a judicial proceeding, though that investigation may not take place 
before a Court. 

A, in an enquiry before an officer deputed by a Court to ascertain on the spot the boundaries of land, 
makes on oath a statement which he knows to be false. As this enquiry is a stage of a judicial proceeding, 
A has given false evidence."
